影‎ (2018), 邓超 , 孙俪 , 郑恺 , 王千源 , 王景春 , 胡军 , 关晓彤 , 吴磊
活着‎ (1994), 葛优 , 巩俐 , 姜武 , 牛犇 , 郭涛 , 张璐 , 倪大红 , 肖聪
金陵十三钗‎ (2011), 克里斯蒂安·贝尔 , 倪妮 , 张歆怡 , 黄天元 , 韩熙庭 , 张逗逗 , 佟大为 , 曹可凡
长城 The Great Wall‎ (2016), 马特·达蒙 , 景甜 , 佩德罗·帕斯卡 , 刘德华 , 威廉·达福 , 张涵予 , 鹿晗 , 彭于晏
英雄‎ (2002), 李连杰 , 梁朝伟 , 张曼玉 , 陈道明 , 甄子丹 , 章子怡
红高粱‎ (1988), 姜文 , 巩俐 , 滕汝骏 , 钱明 , 陈志刚 , 计春华
满城尽带黄金甲‎ (2006), 周润发 , 巩俐 , 刘烨 , 周杰伦 , 陈瑾 , 倪大红 , 李曼 , 秦俊杰
归来‎ (2014), 陈道明 , 巩俐 , 张慧雯 , 郭涛 , 刘佩琦 , 祖峰 , 闫妮 , 辛柏青
有话好好说‎ (1997), 姜文 , 李保田 , 瞿颖 , 刘信义 , 葛优 , 李雪健 , 尤勇
大红灯笼高高挂‎ (1991), 巩俐 , 马精武 , 何赛飞 , 曹翠芬 , 周琦 , 孔琳 , 金淑媛 , 丁惟敏
十面埋伏‎ (2004), 章子怡 , 刘德华 , 金城武 , 宋丹丹 , 刘腾远 , 赵鸿飞 , 郭军 , 张恕
山楂树之恋‎ (2010), 周冬雨 , 窦骁 , 奚美娟 , 李雪健 , 姜瑞佳 , 于新博 , 萨日娜 , 成泰燊
我的父亲母亲‎ (1999), 章子怡 , 郑昊 , 孙红雷 , 李滨 , 嵇波 , 宋运成
菊豆‎ (1990), 杨凤良 , 巩俐 , 李保田 , 李纬 , 丛志军 , 金甲 , 牛星丽
一个都不能少‎ (1999), 魏敏芝 , 张慧科 , 田正达 , 高恩满 , 孙志梅 , 冯玉英 , 李凡凡 , 张艺长
一秒钟‎ (2019), 张译 , 刘浩存 , 范伟 , 余皑磊 , 李延 , 张邵勃  , 唐孜悦
三枪拍案惊奇‎ (2009), 小沈阳 , 闫妮 , 孙红雷 , 倪大红 , 程野 , 毛毛 , 赵本山
秋菊打官司‎ (1992), 巩俐 , 刘佩琦 , 雷恪生 , 戈治均 , 杨柳春 , 朱万清 , 崔络纹 , 杨惠琴
千里走单骑‎ (2005), 高仓健 , 中井贵一 , 蒋雯 , 寺岛忍 , 中本贤
摇啊摇，摇到外婆桥‎ (1995), 巩俐 , 李保田 , 李雪健 , 孙淳 , 傅彪 , 陈述 , 刘江 , 蒋宝英
2008年第29届北京奥运会开幕式 Beijing 2008 Olympics Games Opening Ceremony‎ (2008), 张继刚 , 陈维亚 , 蒂姆·达格特 , Elfi Schlegel , Al Trautwig
幸福时光‎ (2000), 董洁 , 赵本山 , 傅彪 , 李雪健 , 董立范 , 牛犇 , 张洪杰 , 孙红雷
最忆是杭州‎ (2016), 廖昌永 , 赵聪
代号美洲豹‎ (1989), 杨凤良 , 刘小宁 , 葛优 , 巩俐 , 王学圻 , 于荣光
大红灯笼高高挂 The Bright Red Lanterns Hung High‎ (2008)
张艺谋讲述北京奥运会开幕式 チャン・イーモウ 北京オリンピックを語る‎ (2008), 香川照之
跨界冰雪王‎ (2017), 申雪 , 赵宏博 , 林更新 , 张静初 , 曹格 , 左小青 , 孙艺洲 , 李菲儿
悬崖之上‎ (2020)
中国铁路‎ (2010)
影响：改革开放40年的中国电影‎ (2018), 谢飞 , 黄建新 , 王晓棠 , 李雪健 , 唐国强
180台DV的故事‎ (2014), Peng Wang
看电影‎ (2006), 吕聿来 , 李曼
花样中国‎ (2019)
Making of House of Flying Daggers‎ (2004)
